Model,Train MSE,Test MSE,CV MSE,Train R²,Test R²,Train MAE,Test MAE,CV Std
linear_regression,2.2837997851231558e-24,2.306316395859262e-24,2.969044447187302e-24,1.0,1.0,5.679284117018919e-13,5.752205794823849e-13,2.3952913037649385e-24
random_forest,298.79772189924864,1302.6240219800093,2896.7943558273682,0.9996088613323466,0.9983742396265701,0.4498780978529115,1.4170380020799982,5253.676542291533
svr,483401.28775647865,569716.7487281187,543142.4612092341,0.36720757295888595,0.28895606212328473,59.109177384242685,61.27578225434051,99995.79753101576
